"species_search"	"decimalLongitude"	"decimalLatitude"
"Amblydromalus congeae"	-61.53977	16.19759
"Amblydromalus congeae"	-61.53977	16.19759
"Amblydromalus congeae"	-61.53977	16.19759
"Amblydromalus limonicus"	-49.9240098	-20.0787604
"Amblydromalus limonicus"	-50.2937152	-20.4740597
"Amblydromalus limonicus"	-50.2937152	-20.4740597
"Amblydromalus limonicus"	-48.5376072	-21.6210674
"Amblydromalus limonicus"	-46.9872	-22.7069
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-81.92	28.98
"Amblydromalus limonicus"	-61.22	10.69
"Amblydromalus limonicus"	-61.53977	16.19759
"Amblydromalus limonicus"	-61.53977	16.19759
"Amblydromalus limonicus"	-61.53977	16.19759
"Amblydromalus higuilloae"	-61.083332	14.833333
"Amblydromalus higuilloae"	-61.65	16.183332
"Amblydromalus higuilloae"	-61.65	16.05
"Amblydromalus higuilloae"	-61.65	16.183332
"Amblydromalus higuilloae"	-61.466667	16.516666
"Amblydromalus higuilloae"	-61.65	16.2
"Amblydromalus higuilloae"	-61.65	16.2
"Amblydromalus higuilloae"	-61.53977	16.19759
"Amblydromalus higuilloae"	-61.01929	14.65485
"Amblydromalus higuilloae"	-61.01929	14.65485
"Amblydromalus higuilloae"	-61.53977	16.19759
"Amblydromalus higuilloae"	-61.01929	14.65485
"Amblydromalus higuilloae"	-61.53977	16.19759
"Amblydromalus lailae"	152.8	-26.63
"Amblydromalus lailae"	152.8	-26.63
"Amblydromalus lailae"	152.8	-26.63
"Amblydromalus lailae"	148.4	-36.42
"Amblydromalus lailae"	151.3	-33.37
"Amblydromalus lailae"	151.35	-33.67
"Amblydromalus limonicus"	-49.9240098	-20.0787604
"Amblydromalus limonicus"	-50.2937152	-20.4740597
"Amblydromalus limonicus"	-50.2937152	-20.4740597
"Amblydromalus limonicus"	-48.5376072	-21.6210674
"Amblydromalus limonicus"	-46.9872	-22.7069
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-81.92	28.98
"Amblydromalus limonicus"	-61.22	10.69
"Amblydromalus limonicus"	-61.53977	16.19759
"Amblydromalus limonicus"	-61.53977	16.19759
"Amblydromalus limonicus"	-61.53977	16.19759
"Amblydromalus limonicus"	-49.9240098	-20.0787604
"Amblydromalus limonicus"	-50.2937152	-20.4740597
"Amblydromalus limonicus"	-50.2937152	-20.4740597
"Amblydromalus limonicus"	-48.5376072	-21.6210674
"Amblydromalus limonicus"	-46.9872	-22.7069
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-122.3	37.89
"Amblydromalus limonicus"	-81.92	28.98
"Amblydromalus limonicus"	-61.22	10.69
"Amblydromalus limonicus"	-61.53977	16.19759
"Amblydromalus limonicus"	-61.53977	16.19759
"Amblydromalus limonicus"	-61.53977	16.19759
"Amblydromalus nakuruensis"	55.53241	-21.13317
"Amblydromalus nakuruensis"	55.53241	-21.13317
"Amblydromalus nakuruensis"	55.53241	-21.13317
"Amblydromalus rapax"	-49.9240098	-20.0787604
"Amblydromalus rapax"	-50.2937152	-20.4740597
"Amblydromalus rapax"	-50.2937152	-20.4740597
"Amblydromalus rapax"	-48.5376072	-21.6210674
"Amblydromalus rapax"	-46.9872	-22.7069
"Amblydromalus rapax"	-122.3	37.89
"Amblydromalus rapax"	-122.3	37.89
"Amblydromalus rapax"	-122.3	37.89
"Amblydromalus rapax"	-122.3	37.89
"Amblydromalus rapax"	-81.92	28.98
"Amblydromalus rapax"	-61.22	10.69
"Amblydromalus rapax"	-61.53977	16.19759
"Amblydromalus rapax"	-61.53977	16.19759
"Amblydromalus rapax"	-61.53977	16.19759
"Amblyseiella setosa"	-78.781	43.9068
"Amblyseiella setosa"	-79.9288	43.2074
"Amblyseiella setosa"	-113.985	53.5267
"Amblyseiella setosa"	-78.167	38.892
"Amblyseiella setosa"	-78.167	38.892
"Amblyseiella setosa"	-78.167	38.892
"Amblyseiella setosa"	-78.167	38.892
"Amblyseiella setosa"	-78.167	38.892
"Amblyseiella setosa"	-78.167	38.892
"Amblyseiella setosa"	-78.167	38.892
"Amblyseiella setosa"	-78.167	38.892
"Amblyseiella setosa"	-78.167	38.892
"Amblyseiella setosa"	-81.295	43.028
"Amblyseiella setosa"	-78.264	44.426
"Amblyseiella setosa"	-79.539	43.68
"Amblyseiella setosa"	-75.865	44.475
"Amblyseiella setosa"	-80.08	40.28
"Amblyseiella setosa"	-76.8	39.05
"Amblyseiella setosa"	-97.7	26.19
"Amblyseiulella tibouchina"	88.65806	27.167221
"Amblyseius acalyphus"	-49.3018085	-21.0537648
"Amblyseius acalyphus"	-49.9743136	-21.001862
"Amblyseius acalyphus"	-49.9743136	-21.001862
"Amblyseius acalyphus"	-49.9743136	-21.001862
"Amblyseius acalyphus"	-49.9743136	-21.001862
"Amblyseius acalyphus"	-50.4343128	-20.004057
"Amblyseius acalyphus"	-49.3018085	-21.0537648
"Amblyseius acalyphus"	-49.9743136	-21.001862
"Amblyseius acalyphus"	-49.9743136	-21.001862
"Amblyseius acalyphus"	-50.2937152	-20.4740597
"Amblyseius acalyphus"	-50.2937152	-20.4740597
"Amblyseius acalyphus"	-49.3504072	-20.833763
"Amblyseius acalyphus"	-49.3504072	-20.833763
"Amblyseius acalyphus"	-49.3504072	-20.833763
"Amblyseius acalyphus"	-49.3504072	-20.833763
"Amblyseius acalyphus"	-61.53977	16.19759
"Amblyseius acalyphus"	-61.01929	14.65485
"Amblyseius acalyphus"	-61.01929	14.65485
"Amblyseius acalyphus"	-61.01929	14.65485
"Amblyseius acalyphus"	-61.53977	16.19759
"Amblyseius acalyphus"	-47.4743001	-21.939371
"Amblyseius acalyphus"	-47.8229003	-21.91437
"Amblyseius acalyphus"	-47.7885022	-21.6040692
"Amblyseius acalyphus"	-61.53977	16.19759
"Amblyseius adjaricus"	40	43.57
"Amblyseius tamatavensis"	145.57	-17.18
"Amblyseius tamatavensis"	145.57	-17.18
"Amblyseius tamatavensis"	-61.53977	16.19759
"Amblyseius tamatavensis"	55.53241	-21.13317
"Amblyseius tamatavensis"	-61.53977	16.19759
"Amblyseius tamatavensis"	45.14743	-12.8206
"Amblyseius tamatavensis"	55.53241	-21.13317
"Amblyseius tamatavensis"	55.53241	-21.13317
"Amblyseius tamatavensis"	45.14743	-12.8206
"Amblyseius tamatavensis"	-61.53977	16.19759
"Amblyseius aerialis"	-50.0871118	-20.0512589
"Amblyseius aerialis"	-50.4343128	-20.004057
"Amblyseius aerialis"	-49.9743136	-21.001862
"Amblyseius aerialis"	-49.3504072	-20.833763
"Amblyseius aerialis"	-81.81	28.74
"Amblyseius aerialis"	-63.20893	18.03505
"Amblyseius aerialis"	-61.01929	14.65485
"Amblyseius aerialis"	-63.20893	18.03505
"Amblyseius aerialis"	-61.53977	16.19759
"Amblyseius aerialis"	-61.53977	16.19759
"Amblyseius aerialis"	-63.20893	18.03505
"Amblyseius aerialis"	-61.53977	16.19759
"Amblyseius aerialis"	-61.01929	14.65485
"Amblyseius aerialis"	-61.01929	14.65485
"Amblyseius obtusus"	26.36293	58.59334
"Amblyseius obtusus"	65.37	57.1
"Amblyseius obtusus"	65.26	57.09
"Amblyseius obtusus"	27.018992	69.619932
"Amblyseius obtusus"	19.335115	60.184831
"Amblyseius obtusus"	25.018642	60.110161
"Amblyseius obtusus"	25.018642	60.110161
"Amblyseius obtusus"	25.427075	60.656231
"Amblyseius obtusus"	30.972768	62.790036
"Amblyseius obtusus"	21.4965	61.576833
"Amblyseius obtusus"	23.3905	64.009666
"Amblyseius obtusus"	20.17612	59.96978
"Amblyseius obtusus"	4.613131	52.552597
"Amblyseius obtusus"	23.642878	60.283343
"Amblyseius obtusus"	24.85075	67.79297
"Amblyseius obtusus"	5.711389	51.521045
"Amblyseius obtusus"	5.711389	51.521045
"Amblyseius obtusus"	5.641871	51.970641
"Amblyseius obtusus"	5.642127	52.015581
"Amblyseius obtusus"	5.641871	51.970641
"Amblyseius obtusus"	5.641871	51.970641
"Amblyseius obtusus"	25.815562	62.680832
"Amblyseius obtusus"	25.73026	61.935259
"Amblyseius obtusus"	4.186745	51.964792
"Amblyseius obtusus"	14.081473	52.948576
"Amblyseius obtusus"	12.415094	51.24876
"Amblyseius obtusus"	12.415092	51.348748
"Amblyseius obtusus"	6.582624	51.448716
"Amblyseius obtusus"	5.641871	51.970641
"Amblyseius obtusus"	5.861579	52.104783
"Amblyseius obtusus"	5.861579	52.104783
"Amblyseius obtusus"	5.641871	51.970641
"Amblyseius obtusus"	5.861579	52.104783
"Amblyseius obtusus"	5.934007	52.059528
"Amblyseius obtusus"	5.861579	52.104783
"Amblyseius obtusus"	5.861579	52.104783
"Amblyseius obtusus"	5.641871	51.970641
"Amblyseius obtusus"	5.641871	51.970641
"Amblyseius obtusus"	5.641871	51.970641
"Amblyseius obtusus"	5.641871	51.970641
"Amblyseius obtusus"	5.861579	52.104783
"Amblyseius obtusus"	5.934007	52.059528
"Amblyseius obtusus"	5.934007	52.059528
"Amblyseius obtusus"	16.414936	52.600803
"Amblyseius obtusus"	16.414936	52.600803
"Amblyseius obtusus"	16.414936	52.600803
"Amblyseius obtusus"	16.414936	52.600803
"Amblyseius obtusus"	16.414936	52.600803
"Amblyseius obtusus"	16.414936	52.600803
"Amblyseius obtusus"	16.414936	52.600803
"Amblyseius obtusus"	16.414936	52.600803
"Amblyseius obtusus"	14.0861	55.8256
