"ID" "species"
1 "Africoseiulella flechtmanni"
2 "Africoseiulus namibianus"
3 "Afrodromips tanzaniensis"
4 "Afroseiulus robertsi"
5 "Amazoniaseius imparisetosus"
6 "Amblydromalus akiri"
7 "Amblydromalus amazonicus"
8 "Amblydromalus arawak"
11 "Amblydromalus gliricidii"
13 "Amblydromalus horatii"
14 "Amblydromalus hum"
15 "Amblydromalus insolitus"
16 "Amblydromalus itacoatiarensis"
17 "Amblydromalus julus"
18 "Amblydromalus laetus"
22 "Amblydromalus macroatrium"
23 "Amblydromalus manihoti"
25 "Amblydromalus ntandu"
26 "Amblydromalus propitius"
28 "Amblydromalus swaga"
29 "Amblydromalus tigrus"
30 "Amblydromalus villacarmelensis"
31 "Amblydromalus yunquensis"
32 "Amblydromalus zannoui"
33 "Amblymexica campeche"
34 "Amblyseiella antonii"
35 "Amblyseiella denmarki"
36 "Amblyseiella rusticana"
38 "Amblyseiulella amanoi"
39 "Amblyseiulella baltazarae"
40 "Amblyseiulella chombongensis"
41 "Amblyseiulella domatorum"
42 "Amblyseiulella gapudi"
43 "Amblyseiulella heveae"
44 "Amblyseiulella hyauliangensis"
45 "Amblyseiulella nucifera"
46 "Amblyseiulella odowdi"
47 "Amblyseiulella omei"
48 "Amblyseiulella paraheveae"
49 "Amblyseiulella prunii"
50 "Amblyseiulella thoi Ehara"
52 "Amblyseiulella xizangensis"
53 "Amblyseiulella yaeyamana"
54 "Amblyseius abbasovae"
55 "Amblyseius abdono"
57 "Amblyseius adhatodae"
60 "Amblyseius aequipilus"
63 "Amblyseius akahirai"
64 "Amblyseius akilinik"
65 "Amblyseius alpigenus"
66 "Amblyseius alpinia"
67 "Amblyseius altiplanumi"
70 "Amblyseius amorphalae"
71 "Amblyseius ampullosus"
75 "Amblyseius angulatus"
76 "Amblyseius animos"
77 "Amblyseius ankaratrae"
78 "Amblyseius anomalus"
79 "Amblyseius anthurii"
80 "Amblyseius antuensis"
81 "Amblyseius apocynae"
82 "Amblyseius araraticus"
84 "Amblyseius arcticus"
85 "Amblyseius arcus"
88 "Amblyseius armeniacus"
89 "Amblyseius artemis"
90 "Amblyseius asperocervix"
91 "Amblyseius atibaiensis"
92 "Amblyseius atlanticus"
93 "Amblyseius azerbaijanicus"
94 "Amblyseius azaliae"
95 "Amblyseius bahiensis"
96 "Amblyseius bayonicus"
97 "Amblyseius bellatulus"
99 "Amblyseius bengalensis"
101 "Amblyseius bhadrakshae"
103 "Amblyseius bidibidi"
104 "Amblyseius biotafapesp"
105 "Amblyseius blosis"
106 "Amblyseius boina"
107 "Amblyseius brachycalyx"
108 "Amblyseius brachyscutatus"
109 "Amblyseius brevicervix"
112 "Amblyseius bulga"
114 "Amblyseius calidum"
115 "Amblyseius caliginosus"
116 "Amblyseius cantonus"
118 "Amblyseius carnis"
119 "Amblyseius caudatus"
120 "Amblyseius caviphilus"
121 "Amblyseius celsus"
123 "Amblyseius changbaiensis"
124 "Amblyseius chanioticus"
125 "Amblyseius channabasavannai"
126 "Amblyseius chanti"
128 "Amblyseius chicomendesi"
129 "Amblyseius chilcotti"
130 "Amblyseius choii"
131 "Amblyseius chungas"
132 "Amblyseius cinctus"
134 "Amblyseius coffeae"
135 "Amblyseius colimensis"
137 "Amblyseius collinellus"
138 "Amblyseius coloradus"
139 "Amblyseius comatus"
141 "Amblyseius consanguineus"
142 "Amblyseius constrictus"
143 "Amblyseius conulus"
144 "Amblyseius corderoi"
145 "Amblyseius crassicaudalis"
146 "Amblyseius crotalariae"
148 "Amblyseius cucurbitae"
149 "Amblyseius cupulus"
150 "Amblyseius curticalyx"
151 "Amblyseius curticervicalis"
152 "Amblyseius curtus"
153 "Amblyseius dahliae"
154 "Amblyseius daliensis"
155 "Amblyseius daviesi"
156 "Amblyseius decolor"
157 "Amblyseius deductus"
158 "Amblyseius deleonellus"
159 "Amblyseius denticulosus"
160 "Amblyseius diverto"
163 "Amblyseius dombeyus"
165 "Amblyseius duckei"
166 "Amblyseius duncansoni"
167 "Amblyseius duplicesetus"
170 "Amblyseius erici"
171 "Amblyseius erlangensis"
172 "Amblyseius euanalis"
173 "Amblyseius eudentatus"
175 "Amblyseius euserratus"
176 "Amblyseius euterpes"
177 "Amblyseius euvertex"
178 "Amblyseius excelsus"
179 "Amblyseius ezoensis"
180 "Amblyseius faerroni"
183 "Amblyseius ficus"
184 "Amblyseius fieldsi"
186 "Amblyseius filcae"
187 "Amblyseius filicinae"
189 "Amblyseius firmus"
191 "Amblyseius foenalis"
