scientificname	longitude	latitude
Amblydromalus limonicus	-48.537201	-21.6206
Amblyseius acalyphus	-49.9739	-21.0014
Amblyseius acalyphus	-49.9739	-21.0014
Amblyseius acalyphus	-49.9739	-21.0014
Amblyseius acalyphus	-49.9739	-21.0014
Amblyseius acalyphus	-50.433899	-20.003599
Amblyseius acalyphus	-49.9739	-21.0014
Amblyseius acalyphus	-49.9739	-21.0014
Amblyseius acalyphus	-47.4739	-21.9389
Amblyseius acalyphus	-47.822498	-21.9139
Amblyseius acalyphus	-47.788101	-21.6036
Amblyseius acalyphus	-49.349998	-20.8333
Amblyseius acalyphus	-49.349998	-20.8333
Amblyseius acalyphus	-49.349998	-20.8333
Amblyseius acalyphus	-49.349998	-20.8333
Amblyseius aerialis	-50.433899	-20.003599
Amblyseius aerialis	-49.9739	-21.0014
Amblyseius aerialis	-49.349998	-20.8333
Amblyseius chiapensis	-48.6311	-21.444201
Amblyseius chiapensis	-47.6278	-22.7083
Amblyseius chiapensis	-50.339699	-20.920799
Amblyseius chiapensis	-50.339699	-20.920799
Amblyseius chiapensis	-50.339699	-20.920799
Amblyseius chiapensis	-50.339699	-20.920799
Amblyseius chiapensis	-50.339699	-20.920799
Amblyseius chiapensis	-50.433899	-20.003599
Amblyseius chiapensis	-49.9739	-21.0014
Amblyseius chiapensis	-49.9739	-21.0014
Amblyseius chiapensis	-49.9739	-21.0014
Amblyseius chiapensis	-50.339699	-20.920799
Amblyseius chiapensis	-49.9739	-21.0014
Amblyseius chiapensis	-49.9739	-21.0014
Amblyseius chiapensis	-49.9739	-21.0014
Amblyseius chiapensis	-47.4739	-21.9389
Amblyseius chiapensis	-47.822498	-21.9139
Amblyseius chiapensis	-47.788101	-21.6036
Amblyseius chiapensis	-48.6311	-21.444201
Amblyseius chiapensis	-49.349998	-20.8333
Amblyseius chiapensis	-49.349998	-20.8333
Amblyseius chiapensis	-49.349998	-20.8333
Amblyseius chiapensis	-49.349998	-20.8333
Amblyseius chiapensis	-49.349998	-20.8333
Amblyseius chiapensis	-49.349998	-20.8333
Amblyseius compositus	-47.6278	-22.7083
Amblyseius compositus	-50.339699	-20.920799
Amblyseius compositus	-49.500301	-21.404699
Amblyseius compositus	-48.537201	-21.6206
Amblyseius compositus	-48.537201	-21.6206
Amblyseius compositus	-48.537201	-21.6206
Amblyseius compositus	-47.4739	-21.9389
Amblyseius compositus	-47.822498	-21.9139
Amblyseius compositus	-47.788101	-21.6036
Amblyseius compositus	-49.349998	-20.8333
Amblyseius compositus	-49.349998	-20.8333
Amblyseius compositus	-49.349998	-20.8333
Amblyseius compositus	-49.349998	-20.8333
Amblyseius curiosus	-47.641701	-22.708099
Amblyseius herbicolus	-47.6278	-22.7083
Amblyseius herbicolus	-47.641701	-22.708099
Amblyseius hexadens	-47.641701	-22.708099
Amblyseius hexadens	-47.641701	-22.7083
Amblyseius impressus	-47.6278	-22.7083
Amblyseius neochiapensis	-49.9739	-21.0014
Amblyseius neochiapensis	-49.619999	-20.8006
Amblyseius neochiapensis	-49.6908	-20.762199
Amblyseius neochiapensis	-47.4739	-21.9389
Amblyseius neochiapensis	-47.822498	-21.9139
Amblyseius operculatus	-47.833301	-24.9167
Amblyseius operculatus	-47.883301	-24.613899
Amblyseius guianensis	-57.62801	5.74399
Euseius sibelius	-47.788056	-21.603611
Galendromus annectens	-47.627222	-22.709167
Galendromus annectens	-47.788056	-21.603611
Galendromus annectens	-42.372222	-14.143889
Galendromus annectens	-47.633333	-22.704444
Iphiseiodes aff. zuluagai	-47.641667	-22.708333
Iphiseiodes aff. zuluagai	-47.641667	-22.708333
Iphiseiodes zuluagai	-47.641667	-22.708333
Iphiseiodes zuluagai	-47.641667	-22.708333
Iphiseiodes zuluagai	-47.641667	-22.708333
Iphiseiodes zuluagai	-47.641667	-22.708333
Iphiseiodes zuluagai	-47.641667	-22.708333
Iphiseiodes zuluagai	-47.641667	-22.708333
Iphiseiodes zuluagai	-47.641667	-22.708333
Iphiseiodes zuluagai	-47.641667	-22.708333
Iphiseiodes zuluagai	-47.641667	-22.708333
Iphiseiodes saopaulus	-47.864167	-24.9125
Iphiseiodes saopaulus	-47.864167	-24.9125
Iphiseiodes saopaulus	-47.864167	-24.9125
Iphiseiodes saopaulus	-47.880833	-24.615833
Iphiseiodes saopaulus	-47.886944	-24.607778
Iphiseiodes saopaulus	-47.864167	-24.9125
Iphiseiodes saopaulus	-47.864167	-24.9125
Iphiseiodes saopaulus	-47.864167	-24.9125
Iphiseiodes saopaulus	-47.886944	-24.607778
Iphiseiodes saopaulus	-47.864167	-24.9125
Iphiseiodes zuluagai	-47.788056	-21.603611
Iphiseiodes zuluagai	-41.051944	-11.435833
Iphiseiodes zuluagai	-47.788056	-21.603611
Iphiseiodes zuluagai	-47.880833	-24.615833
Iphiseiodes zuluagai	-47.880833	-24.615833
Iphiseiodes zuluagai	-47.629167	-22.708611
Iphiseiodes zuluagai	-47.633333	-22.704444
Iphiseiodes zuluagai	-47.618889	-22.714722
Iphiseiodes zuluagai	-47.631667	-22.708333
Iphiseiodes zuluagai	-47.788056	-21.603611
Iphiseiodes zuluagai	-47.883333	-24.610833
Iphiseiodes zuluagai	-47.618889	-22.714722
Iphiseiodes zuluagai	-47.629722	-22.709722
Iphiseiodes zuluagai	-47.8225	-21.913889
Iphiseiodes zuluagai	-47.629167	-22.708611
Iphiseiodes zuluagai	-47.618889	-22.714722
Iphiseiodes zuluagai	-47.788056	-21.603611
Iphiseiodes zuluagai	-47.788056	-21.603611
Iphiseiodes zuluagai	-47.629167	-22.708611
Iphiseiodes zuluagai	-47.618889	-22.714722
Iphiseiodes zuluagai	-47.886944	-24.607778
Iphiseiodes zuluagai	-47.633333	-22.71
Iphiseiodes zuluagai	-47.618889	-22.714722
Iphiseiodes zuluagai	-47.883333	-24.610833
Iphiseiodes zuluagai	-47.627222	-22.709167
Iphiseiodes zuluagai	-47.627222	-22.709167
Iphiseiodes zuluagai	-41.051944	-11.435833
Iphiseiodes zuluagai	-47.629722	-22.709722
Iphiseiodes zuluagai	-47.633333	-22.704444
Iphiseiodes zuluagai	-47.633333	-22.71
